Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10μF,C19702
"C3, C4, C6, C7",0603,4,100nF,C14663
C5,0603,1,1μF,C15849
"D1, D2, D3, D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,C114587
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB4105-GF-A-120,C136423
"R1, R3",0603,2,10k,C25804
"R4, R5, R6, R7",0603,4,5k1,C23186
"SW1, SW2",SW_SPST_EVQP7C,2,EVQP7C01P,C388883
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U2,SOT-23-5,1,AP2112K-3.3,C51118
U3,SCD40-D-R1,1,SCD40,C3659294
U4,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U5,SOT-23-5,1,74AHCT1G125,C7484
U7,OLED_128x64_0.96_small,1,SSD1306,C5248080
